RULE,Waivable,rule_letter,category,COUNT 1, COUNT 2
MR_dnwell.2,no,M,drcmr,0,0
MR_nwell.1,no,M,drcmr,0,0
MR_nwell.2a,no,M,drcmr,0,0
MR_hvtp.1,no,M,drcmr,0,0
MR_hvtp.2,no,M,drcmr,0,0
MR_hvtr.1,no,M,drcmr,0,0
MR_hvtr.2,no,M,drcmr,0,0
MR_hvtr.2_a,no,M,drcmr,0,0
MR_lvtn.1a,no,M,drcmr,0,0
MR_lvtn.2,no,M,drcmr,0,0
MR_ncm.1,no,M,drcmr,0,0
MR_ncm.2a,no,M,drcmr,0,0
MR_difftap.1,no,M,drcmr,0,0
MR_difftap.1_a,no,M,drcmr,0,0
MR_difftap.1_b,no,M,drcmr,0,0
MR_difftap.1_c,no,M,drcmr,0,0
MR_difftap.3,no,M,drcmr,0,0
MR_tunm.1,no,M,drcmr,0,0
MR_tunm.2,no,M,drcmr,0,0
MR_poly.1a,no,M,drcmr,0,0
MR_poly.2,no,M,drcmr,0,0
MR_rpm.1a,no,M,drcmr,0,0
MR_rpm.2,no,M,drcmr,0,0
MR_urpm.1a,no,M,drcmr,0,0
MR_urpm.2,no,M,drcmr,0,0
MR_npc.1,no,M,drcmr,0,0
MR_npc.2,no,M,drcmr,0,0
MR_licon.1,no,M,drcmr,0,0
MR_licon.1_a,no,M,drcmr,0,0
MR_licon.1_b,no,M,drcmr,0,0
MR_licon.13,no,M,drcmr,0,0
MR_licon.13_a,no,M,drcmr,0,0
MR_licon.17,no,M,drcmr,0,0
MR_li.1,no,M,drcmr,0,0
MR_li.3,no,M,drcmr,0,0
MR_li.5,no,M,drcmr,0,0
MR_li.6,no,M,drcmr,0,0
MR_ct.1,no,M,drcmr,0,0
MR_ct.1_a,no,M,drcmr,0,0
MR_ct.1_b,no,M,drcmr,0,0
MR_ct.2,no,M,drcmr,0,0
MR_ct.3,no,M,drcmr,0,0
MR_ct.3_a,no,M,drcmr,0,0
MR_ct.3_b,no,M,drcmr,0,0
MR_ct.4,no,M,drcmr,0,0
MR_capm.1,no,M,drcmr,0,0
MR_capm.2a,no,M,drcmr,0,0
MR_capm.2b,no,M,drcmr,0,0
MR_capm.2b_a,no,M,drcmr,0,0
MR_capm.3,no,M,drcmr,0,0
MR_capm.4,no,M,drcmr,0,0
MR_capm.5,no,M,drcmr,0,0
MR_cap2m.1,no,M,drcmr,0,0
MR_cap2m.2a,no,M,drcmr,0,0
MR_cap2m.2b,no,M,drcmr,0,0
MR_cap2m.2b_a,no,M,drcmr,0,0
MR_cap2m.3,no,M,drcmr,0,0
MR_cap2m.4,no,M,drcmr,0,0
MR_cap2m.5,no,M,drcmr,0,0
MR_m1.1,no,M,drcmr,0,0
MR_m1.2,no,M,drcmr,0,0
MR_m1.3b,no,M,drcmr,0,0
MR_m1.3a,no,M,drcmr,0,0
MR_791_m1.4,no,M,drcmr,0,0
MR_m1.4,no,M,drcmr,0,0
MR_m1.4a,no,M,drcmr,0,0
MR_m1.4a_a,no,M,drcmr,0,0
MR_m1.5,no,M,drcmr,0,0
MR_m1.6,no,M,drcmr,0,0
MR_m1.7,no,M,drcmr,0,0
MR_m1.7_a,no,M,drcmr,0,0
MR_via.1a,no,M,drcmr,0,0
MR_via.1a_a,no,M,drcmr,0,0
MR_via.1a_b,no,M,drcmr,0,0
MR_via.2,no,M,drcmr,0,0
MR_via.3,no,M,drcmr,0,0
MR_via.3_a,no,M,drcmr,0,0
MR_via.3_b,no,M,drcmr,0,0
